Product_id,Title,Title_Length,Bullet_points,Description,Product_type_id,Product_length,Short_title,Short_Title_Length
1925202,"ArtzFolio Tulip Flowers Blackout Curtain for Door, Window & Room | Eyelets & Tie Back | Canvas Fabric | Width 4.5feet (54inch) Height 5 feet (60 inch); Set of 2 PCS",164,luxurious  appealing beautiful custommade curtains to decorate any home or office  includes inbuilt tieback to hold the curtain  completely finished and ready to hang on walls  windowsmaterial luxurious  versatile fabric with a natural finish  high colour fastness  stateoftheart digital printing ensures colour consistency and prevents any fading  eyelets cotton canvas width 45feet 54inch  multicolour  package 2 room curtains eyelets  size height 5 feet 60 inch set of 2 pcsblackout curtain 100 opaque  heavy premium cotton canvas fabric  tight knitted long life  durable fabric  printing only on front side with a plain colour back sidemade to perfection large eyelets at the top to put hanging hooks  perfectly tailored seams for durability  refined stitching with a matching thread colorquality assured gentle wash with similar colors in cold water  avoid direct sunlight to prevent fading  dispatched after multiple quality checks,Unknown,1650,2125.98,Tulip Flowers Blackout Curtain Door Window Room,47
2673191,Marks & Spencer Girls' Pyjama Sets T86_2561C_Navy Mix_9-10Y,59,harry potter hedwig pyjamas 616 yrs100 cotton exclusive of trimmingsribbing  98 cotton 2 elastane,Unknown,2755,393.7,Marks Spencer Girls Pyjama Sets - 10Y,37
2765088,PRIKNIK Horn Red Electric Air Horn Compressor Interior Dual Tone Trumpet Loud Compatible with SX4,97,loud dual tone trumpet horn compatible with sx4electric air horn with compressor compatible with sx4high quality high intensity horn sound compatible with sx4color red compatible with sx4professional installation required compatible with sx4,specifications color red material aluminium voltage 12v db 130 db around material aluminum pump head  steel pump body  abs shell and parts db output 130db voltage 12v sound type dual tone application 12v voltage vehicles with battery above 20a package included 1 x dual tone air horn compatible with sx4,7537,748.0314953,Horn Compressor Interior Dual Tone Trumpet,42
1594019,"ALISHAH Women's Cotton Ankle Length Leggings Combo of 2, Plus 12 Colors_L",73,made by 95cotton and 5 lycra which gives you 4 ways stretchable comfort gsm 180 to 190come with elasticized waist band slim fitbubble free fabric and high quality steaching bio washskinfriendly fabricankle length leggings pack of 2,aishah womens lycra cotton ankel leggings brand alishah length ankel length leggings size chart medium 28  30 inch large 30  32 inch xlarge 32  34 inch 2xlarge 34  38 inch the color fade will not be there in washing this cotton stretch leggings is designed to provide absolute comfort and body fit pair it with short or long kurta for modern look high on style fit and finish this leggings is sure to lend you a sophisticated look please wash the dark colors separately in order to improve the product life disclaimer product color may slightly vary due to photographic lighting sources or your monitor settings please order according to your waist size mentioned in size chart,2996,787.401574,Alishah Womens Cotton Ankle Length Leggings Combo,49
283658,The United Empire Loyalists: A Chronicle of the Great Migration,63,Unknown,Unknown,6112,598.424,Loyalists Chronicle Great Migration,35
2152929,"HINS Metal Bucket Shape Plant Pot for Indoor & Outdoor Gardening (Red, Medium) Plant Stands for Indoor Balcony I Plant Bench I Plant Stands I Pot Stand Single I Potted Plant Stand I Big Pots I Metal",198,simple and elegant great for displaying indoor plants like succulent plants air plants seedling herbs etchigh quality  both indooroutdoor planter stand and flower pots are made of wrought iron material with powder coated paint rustproof and durablepefect decor for living room balcony and gardenbest quality strong and durable  the surface of the pot holder is rustproofed and it can be used for a longer timethe elevated indoor potted plant stand can make watering easier and give the plant a better space to growa pragmatic and ecofriendly gift for any nature lover gardening hobbyist or home decoristnote  plants are only for displaythese are not included with planterplease allow 02cm errors due to manual measurement,hins brings you the most elegant looking pot with stand for durable and long life pot stands for your lovely garden space office and home hins is one of the best choice when it comes to indoor plants it makes a good choice for housewarming gift this beautiful product will take center stage with its sprawling design when planted with a plant the metal stands are painted with powdercoated paint that will protect the galvanized iron from rusting it will also prevent the color from fading each planter pot is removable for easy mobility allowing you to switch out plants depending on your mood note monitors are not calibrated same item color displayed in photos may be showing slightly different from the real object please take the real one as standard please allow 02cm errors due to manual measurement,5725,950,Hins Metal Bucket Shape Plant Pot Indoor Outdoor,48
413758,Ungifted: My Life and Journey,29,Unknown,Unknown,23,598,Ungifted Life Journey,21
2026580,"Delavala Self Adhesive Kitchen Backsplash Wallpaper, Oil Proof Aluminum Foil Kitchen Sticker (Sliver 5(Mtr))",108,high quality pvc material the kitchen aluminum foil stickers are made from plastic and aluminum foil which is much stronger against high temperature than normal pvc sheet the antibacterial antimold and ecofriendly pvc materials is safe enough to use in kitcheneasy to use and clean selfadhesive kitchen wallpaper is easy to stick on the dry clean and smooth surface antioil antidust and antiwater antimoisture pvc material allows you to wipe stains easilyeasy cut and trim back cuttofit grid lines design of the selfadhesive kitchen oil proof sticker is convenient for you to cut and trim any size you want this silver rhombus texture add more fashion to your kitchen decormultiusage the kitchen backsplash wallpaper is great for home decorations to be used in kitchen cabinets countertop shelves walls pantry areas dishwashers dishwasher panels oven hood refrigerators appliance etc instant peel and apply to flat surfacesantioil antidust and antiwater made from plastic and aluminum foil much stronger against fire than normal pvc sheet resistant to heat and moisture easy wipe to remove the stains,pstrongaluminum foil stickersgood kitchen helper for mom and wifenbspstrongbrbrstrongspecification nbspstrongbrstrongmaterials highquality pvc nbspstrongbrstrongsize 2 mtnbspstrongbrstrongcolor silver nbspstrongbrstrongfriendly note please buy enough rolls at a time to make sure that these wallpaper comes from the same batch to avoid color difference nbspstrongbrstrongthis aluminum foil stickers can be used for any dry clean and smooth surfacenbspstrongbrbrstrongfeatures nbspstrongbrstrong1high temperature resistant material is suitable for kitchen which resists temperatures up to 250 celsius it can be used for a long time and will not deform nbspstrongbrstrong2easily to cut up a grid line in square on the back easy for you get the size you need when you cutnbspstrongbrbrstronghow to use nbspstrongbrstrong1before sticking the kitchen oil proof wallpaper please clean and dry surface with mild soap and water make sure that surface is flat and without any carve nbspstrongbrstrong2just cut out the size you want nbspstrongbrstrong3use dishcloth or card to remove any air bubblesnbspstrongbrbrstrongpackage included nbspstrongbrstrong1 ã kitchen backsplash wallpapernbspstrongbrbrstrong100 satisfaction guaranteed nbspstrongbrstrongwe are always available to provide professional customer service before and after your purchase so dont wait any longer and enjoy it right nownbspstrongbrbrnbspp,6030,984.2519675,Self Adhesive Kitchen Backsplash Wallpaper Oil,46
2050239,PUMA Cali Sport Clean Women's Sneakers White Leather (37540701),63,style namecali sport clean womens sneakersupper materialleatherlower materialrubbercare instructions wipe with a clean dry clothwarranty period 90 days manufacturers warranty,Unknown,3302,393.7,Clean Womens White Leather 37540701,35
2998633,Hexwell Essential oil for Home Fragrance Oil Aroma Diffuser oil Set of 2 Rajnigandha Oil & TeaTree Oil -10ML Each,113,100 pure and natural essential oil or fragrance oil each bottle in 10ml of aromatherapy essential oils availablethis essential oil set could be used in professional environments like massage facilities beauty salons and offices or used to diffusehumidify the air in the roomsfor those who love diy these essential oils could be perfect for baths body and hair care homemade lotions candles candle wax soy wax soap base perfumes cleaning art  craft projects pine cones incense sticks or cones other unscented products and so much morewe have this types of aromas essential diffuser oil of lavender oil rose oil tea tree oil rosemary oil jasmine oil rajnigandha oil eucalyptus oil lemongrass oil orchid oil  sandalwood oila perfect gift for everyday use,transform your home workplace or hotel room into your personal aromatherapy oasis with elegantly designed diffusers and aroma diffuser oils you can infuse essential oils into any setting and create a spalike experience anywhere life takes you 10 bottle each of lavender rose tea tree rosemary jasmine rajnigandha eucalyptus lemongrass orchid  sandalwood fragrance,8201,393.700787,Hexwell Essential Oil Home Fragrance Oil Aroma,46
